words,galls
"[철구(48.73),시조새(33.38),감바스(23.60),퍼스트(21.48),김봉준(19.70),성태(19.10),방종(18.44),남수(16.85),아프리카(16.06),경민(14.06),쇼메(13.88),케리(10.13),롤(10.01),발탄(9.94),족구(9.49)]","[20210818_ib_new2(86.40),20210818_leagueoflegends4(37.69),20210818_lostark(25.27),20210818_stream(19.71),20210818_grsgills(3.17)]"
"[퍼스트(46.46),쇼메(30.01),케리(21.91),디디(15.90),페이(15.71),미드(13.41),발탄(13.21),담원(9.76),골드(9.69),쿠크(9.21),올프로(8.57),즙(8.39),쵸비(7.82),농심(7.76),정글(7.66)]","[20210818_leagueoflegends4(77.81),20210818_lostark(36.37),20210818_stream(14.67),20210818_fantasy_new(2.36),20210818_football_new7(2.31)]"
"[퍼스트(30.73),쇼메(19.86),케리(14.50),디디(10.52),페이(10.19),미드(8.79),담원(6.34),철구(5.82),올프로(5.66),쵸비(5.18),정글(5.14),농심(5.13),페이커(5.10),덕담(5.00),고리(4.95)]","[20210818_leagueoflegends4(49.74),20210818_ib_new2(9.53),20210818_bitcoins(1.81)]"
"[골드(11.57),각인(9.82),관문(9.57),아르고스(8.93),웨이(8.90),전각(7.75),럭(6.82),요호(6.28),점핑(6.21),유물(6.16),철구(5.53),환류(5.52),창수(5.43),소서(5.30),데자뷰(5.09)]","[20210818_lostark(40.17),20210818_ib_new2(7.82),20210818_leagueoflegends4(3.48)]"
"[이브(40.43),사쿠라(32.13),김채원(29.81),민주(28.08),그룹(20.55),윤진(20.14),김민주(19.85),스타쉽(17.30),채원(16.80),아이즈(14.80),항미(14.58),유리(12.76),걸프(12.14),쌈(11.50),히카루(10.59)]","[20210818_top12(68.63),20210818_grsgills(65.47),20210818_w_entertainer(21.39),20210818_akb48(13.73),20210818_baseball_new10(11.17)]"
"[창기(35.46),우석(30.14),뿡2(29.38),스틴(22.65),보어(13.90),수비(13.08),여메(12.42),선인간(11.10),이닝(11.08),잦스틴(10.89),투수(10.32),댓츠(10.05),학(9.92),병살(9.51),마무리(9.31)]","[20210818_lgtwins_new(67.83),20210818_w_entertainer(60.60),20210818_giants_new2(22.43),20210818_football_new7(11.66),20210818_samsunglions_new(10.58)]"
"[뿡2(37.10),스틴(28.62),여메(15.67),선인간(14.02),잦스틴(13.75),댓츠(12.70),학(11.82),뿡힛(11.21),중안블(11.05),미니진(10.88),할망(9.35),언냐들(9.31),학치커(8.83),둑(8.73),봊돌(8.57)]","[20210818_w_entertainer(75.42),20210818_m_entertainer1(5.73),20210818_fantasy_new(1.63),20210818_producex(1.21),20210818_leagueoflegends4(1.19)]"
"[창기(10.10),우석(8.39),보어(4.00),퍼스트(2.73),김용(2.54),마무리(2.37),뿡2(2.32),이닝(2.26),쥐(2.24),고로(2.14),볼넷(2.09),제구(2.04),이브(2.01),병살(2.01),수아레즈(2.01)]","[20210818_lgtwins_new(16.80),20210818_w_entertainer(4.10),20210818_leagueoflegends4(2.60),20210818_top12(2.53),20210818_grsgills(2.39)]"
"[안붕(63.75),만개(26.12),만화(16.63),삼전(14.97),번역(11.47),동희(9.88),판개(9.26),프랑코(9.01),애니(8.90),진구(8.57),오베론(8.03),아프간(8.03),에코(7.82),작가(7.66),주경(7.64)]","[20210818_comic_new2(83.97),20210818_neostock(29.67),20210818_giants_new2(21.21),20210818_fantasy_new(19.19),20210818_baseball_new10(12.57)]"
"[동희(42.95),프랑코(38.92),주경(33.17),김원중(18.17),안중(15.98),서튼(15.37),리포터(12.91),투수(11.84),후반기(10.87),최준용(9.95),빠따(9.44),털보(8.45),마차(8.06),병우(7.18),롯데(6.93)]","[20210818_giants_new2(87.26),20210818_sh_new(13.16),20210818_samsunglions_new(9.73),20210818_hanwhaeagles_new(6.62),20210818_baseball_ab2(6.45)]"
"[안붕(24.09),만개(9.83),동희(6.96),프랑코(6.29),만화(6.00),주경(5.37),번역(4.24),엑시(3.65),진구(3.23),애니(3.17),댑(2.98),김원중(2.94),작가(2.65),안중(2.58),오베론(2.53)]","[20210818_comic_new2(29.23),20210818_giants_new2(13.71),20210818_typemoon(3.58),20210818_bitcoins(2.05),20210818_sh_new(2.02)]"
"[오베론(64.75),판개(25.24),메주(20.41),여초(16.60),예장(14.09),서번트(12.78),항미(12.39),수영복(11.13),남초(10.99),걸프(10.20),공약(9.10),모르간(9.02),히카루(8.95),야니(8.11),슬롯(8.04)]","[20210818_typemoon(76.06),20210818_fantasy_new(39.80),20210818_grsgills(26.57),20210818_maplestory(9.67),20210818_d_fighter_new2(9.24)]"
"[항미(31.20),걸프(25.49),히카루(22.80),공약(22.59),야니(20.38),휴(13.85),천신(13.42),999(11.98),래니(10.42),루이(10.38),복어(10.22),그룹(9.89),데뷔(9.50),신위(9.41),안붕(7.92)]","[20210818_grsgills(66.40),20210818_etc_program2(11.49),20210818_comic_new2(8.71),20210818_neostock(1.71),20210818_giants_new2(1.40)]"
