word,galls
철구,"[20210818_ib_new2(1753.83),20210818_stream(6.65),20210818_leagueoflegends4(4.43),20210818_comic_new2(4.43),20210818_grsgills(2.22),20210818_extra(2.22),20210818_government(2.22),20210818_immovables(2.22),20210818_hanwhaeagles_new(2.22),20210818_bitcoins(2.22)]"
시조새,[20210818_ib_new2(1204.05)]
감바스,[20210818_ib_new2(851.07)]
퍼스트,"[20210818_leagueoflegends4(1773.71),20210818_fantasy_new(27.75),20210818_nba(11.56),20210818_d_fighter_new2(6.94),20210818_gf(6.94),20210818_comic_new2(4.63),20210818_football_new7(2.31),20210818_idolmaster(2.31),20210818_tigers_new(2.31)]"
김봉준,"[20210818_ib_new2(710.33),20210818_top12(3.52)]"
성태,"[20210818_ib_new2(668.14),20210818_stream(91.43)]"
방종,"[20210818_ib_new2(655.45),20210818_stream(41.97),20210818_baseball_new10(3.23)]"
남수,[20210818_ib_new2(607.91)]
아프리카,"[20210818_ib_new2(500.39),20210818_leagueoflegends4(152.22),20210818_stream(34.01),20210818_lostark(12.96),20210818_neostock(8.10),20210818_baseball_new10(6.48),20210818_fantasy_new(4.86),20210818_lgtwins_new(4.86),20210818_drama_new3(4.86),20210818_comic_new2(4.86)]"
경민,"[20210818_ib_new2(506.93),20210818_doosanbears_new1(6.46),20210818_baseball_ab2(3.23)]"
쇼메,"[20210818_leagueoflegends4(1146.38),20210818_fantasy_new(14.07)]"
케리,"[20210818_leagueoflegends4(836.93),20210818_fantasy_new(3.52)]"
롤,"[20210818_leagueoflegends4(306.79),20210818_ib_new2(203.90),20210818_stream(77.41),20210818_fantasy_new(16.99),20210818_pridepc_new4(14.63),20210818_closers(13.69),20210818_depression_new1(13.22),20210818_lostark(12.74),20210818_maplestory(12.27),20210818_baseball_new10(11.33)]"
발탄,"[20210818_lostark(922.74),20210818_stream(387.73),20210818_fantasy_new(9.02),20210818_maplestory(6.01)]"
족구,"[20210818_ib_new2(342.26),20210818_w_entertainer(3.23),20210818_baseball_ab2(3.23)]"
퍼스트,"[20210818_leagueoflegends4(1773.71),20210818_fantasy_new(27.75),20210818_nba(11.56),20210818_d_fighter_new2(6.94),20210818_gf(6.94),20210818_comic_new2(4.63),20210818_football_new7(2.31),20210818_idolmaster(2.31),20210818_tigers_new(2.31)]"
쇼메,"[20210818_leagueoflegends4(1146.38),20210818_fantasy_new(14.07)]"
케리,"[20210818_leagueoflegends4(836.93),20210818_fantasy_new(3.52)]"
디디,"[20210818_leagueoflegends4(607.15),20210818_baseball_new10(9.02),20210818_fantasy_new(6.01),20210818_pumpitup(3.01)]"
페이,"[20210818_leagueoflegends4(597.37),20210818_smartphone(23.81),20210818_hanwhaeagles_new(20.09),20210818_typemoon(12.65),20210818_idolmaster(10.41),20210818_football_new7(8.93),20210818_samsunglions_new(8.18),20210818_neostock(8.18),20210818_comic_new2(6.70),20210818_fantasy_new(6.70)]"
미드,"[20210818_leagueoflegends4(510.57),20210818_baseball_new10(10.67),20210818_fantasy_new(9.14),20210818_grsgills(7.62),20210818_football_new7(6.10),20210818_fifaonline(4.57),20210818_iu_new(4.57),20210818_comic_new2(3.05),20210818_d_fighter_new2(3.05),20210818_touhou(3.05)]"
발탄,"[20210818_lostark(922.74),20210818_stream(387.73),20210818_fantasy_new(9.02),20210818_maplestory(6.01)]"
담원,"[20210818_leagueoflegends4(371.02),20210818_fantasy_new(10.68),20210818_stream(8.01),20210818_tigers_new(8.01),20210818_idolmaster(2.67),20210818_closers(2.67)]"
골드,"[20210818_lostark(699.23),20210818_leagueoflegends4(50.79),20210818_ib_new2(16.54),20210818_stream(10.63),20210818_d_fighter_new2(10.63),20210818_maplestory(7.09),20210818_fantasy_new(7.09),20210818_game_mabinogi1(5.91),20210818_ff14(4.72),20210818_mabi_heroes2(4.72)]"
쿠크,"[20210818_lostark(677.98),20210818_stream(184.18),20210818_comic_new2(2.67),20210818_fantasy_new(2.67),20210818_cs_new1(2.67),20210818_depression_new1(2.67)]"
올프로,"[20210818_leagueoflegends4(327.04),20210818_fantasy_new(17.58)]"
즙,"[20210818_leagueoflegends4(284.02),20210818_stream(202.15),20210818_depression_new1(16.71),20210818_giants_new2(8.35),20210818_baseball_new10(6.68),20210818_doosanbears_new1(6.68),20210818_stock_new2(5.01),20210818_samsunglions_new(5.01),20210818_ib_new2(3.34),20210818_m_entertainer1(3.34)]"
쵸비,"[20210818_leagueoflegends4(298.90),20210818_baseball_ab2(3.52)]"
농심,"[20210818_leagueoflegends4(296.28),20210818_depression_new1(5.34),20210818_fantasy_new(5.34),20210818_immovables(5.34),20210818_comic_new2(2.67),20210818_ani1_new1(2.67)]"
정글,"[20210818_leagueoflegends4(300.36),20210818_ib_new2(15.81),20210818_d_fighter_new2(9.88),20210818_fantasy_new(5.93),20210818_stream(3.95),20210818_extra(3.95),20210818_maplestory(3.95),20210818_baseball_new10(3.95),20210818_lostark(1.98),20210818_w_entertainer(1.98)]"
퍼스트,"[20210818_leagueoflegends4(1773.71),20210818_fantasy_new(27.75),20210818_nba(11.56),20210818_d_fighter_new2(6.94),20210818_gf(6.94),20210818_comic_new2(4.63),20210818_football_new7(2.31),20210818_idolmaster(2.31),20210818_tigers_new(2.31)]"
쇼메,"[20210818_leagueoflegends4(1146.38),20210818_fantasy_new(14.07)]"
케리,"[20210818_leagueoflegends4(836.93),20210818_fantasy_new(3.52)]"
디디,"[20210818_leagueoflegends4(607.15),20210818_baseball_new10(9.02),20210818_fantasy_new(6.01),20210818_pumpitup(3.01)]"
페이,"[20210818_leagueoflegends4(597.37),20210818_smartphone(23.81),20210818_hanwhaeagles_new(20.09),20210818_typemoon(12.65),20210818_idolmaster(10.41),20210818_football_new7(8.93),20210818_samsunglions_new(8.18),20210818_neostock(8.18),20210818_comic_new2(6.70),20210818_fantasy_new(6.70)]"
미드,"[20210818_leagueoflegends4(510.57),20210818_baseball_new10(10.67),20210818_fantasy_new(9.14),20210818_grsgills(7.62),20210818_football_new7(6.10),20210818_fifaonline(4.57),20210818_iu_new(4.57),20210818_comic_new2(3.05),20210818_d_fighter_new2(3.05),20210818_touhou(3.05)]"
담원,"[20210818_leagueoflegends4(371.02),20210818_fantasy_new(10.68),20210818_stream(8.01),20210818_tigers_new(8.01),20210818_idolmaster(2.67),20210818_closers(2.67)]"
철구,"[20210818_ib_new2(1753.83),20210818_stream(6.65),20210818_leagueoflegends4(4.43),20210818_comic_new2(4.43),20210818_grsgills(2.22),20210818_extra(2.22),20210818_government(2.22),20210818_immovables(2.22),20210818_hanwhaeagles_new(2.22),20210818_bitcoins(2.22)]"
올프로,"[20210818_leagueoflegends4(327.04),20210818_fantasy_new(17.58)]"
쵸비,"[20210818_leagueoflegends4(298.90),20210818_baseball_ab2(3.52)]"
정글,"[20210818_leagueoflegends4(300.36),20210818_ib_new2(15.81),20210818_d_fighter_new2(9.88),20210818_fantasy_new(5.93),20210818_stream(3.95),20210818_extra(3.95),20210818_maplestory(3.95),20210818_baseball_new10(3.95),20210818_lostark(1.98),20210818_w_entertainer(1.98)]"
농심,"[20210818_leagueoflegends4(296.28),20210818_depression_new1(5.34),20210818_fantasy_new(5.34),20210818_immovables(5.34),20210818_comic_new2(2.67),20210818_ani1_new1(2.67)]"
페이커,"[20210818_leagueoflegends4(293.82),20210818_football_new7(3.23),20210818_ib_new2(3.23)]"
덕담,"[20210818_leagueoflegends4(288.35),20210818_fantasy_new(7.03)]"
고리,"[20210818_leagueoflegends4(286.02),20210818_fantasy_new(8.87),20210818_baseball_ab2(6.65),20210818_pokemon(2.22),20210818_hiphop(2.22),20210818_sphero(2.22),20210818_car_new1(2.22),20210818_extra(2.22),20210818_stock_new2(2.22),20210818_comic_new2(2.22)]"
골드,"[20210818_lostark(699.23),20210818_leagueoflegends4(50.79),20210818_ib_new2(16.54),20210818_stream(10.63),20210818_d_fighter_new2(10.63),20210818_maplestory(7.09),20210818_fantasy_new(7.09),20210818_game_mabinogi1(5.91),20210818_ff14(4.72),20210818_mabi_heroes2(4.72)]"
각인,"[20210818_lostark(596.91),20210818_stream(7.63),20210818_mistertrot(3.81),20210818_samsunglions_new(3.81),20210818_d_fighter_new2(3.81),20210818_grsgills(1.91),20210818_football_new7(1.91),20210818_elsword(1.91),20210818_boardgame(1.91),20210818_baseball_ab2(1.91)]"
관문,"[20210818_lostark(565.04),20210818_lgtwins_new(3.23),20210818_tigers_new(3.23)]"
아르고스,"[20210818_lostark(548.90),20210818_stream(9.69),20210818_maplestory(3.23)]"
웨이,"[20210818_lostark(535.05),20210818_grsgills(99.22),20210818_etc_program2(51.97),20210818_sphero(10.63),20210818_winkgall(4.72),20210818_leagueoflegends4(3.54),20210818_top12(3.54),20210818_comic_new2(3.54),20210818_tabletpc(3.54),20210818_stream(2.36)]"
전각,"[20210818_lostark(457.38),20210818_idolmaster(19.76),20210818_samsunglions_new(5.65),20210818_lgtwins_new(5.65),20210818_bns(2.82)]"
럭,"[20210818_lostark(413.40),20210818_pridepc_new4(18.90),20210818_smartphone(14.17),20210818_m_entertainer1(11.81),20210818_maplestory(9.45),20210818_mabi_heroes2(5.91),20210818_stream(4.72),20210818_baseball_ab2(3.54),20210818_w_entertainer(3.54),20210818_football_new7(2.36)]"
요호,"[20210818_lostark(386.82),20210818_stream(7.03)]"
점핑,"[20210818_lostark(377.82),20210818_closers(35.50),20210818_stream(5.07),20210818_d_fighter_new2(2.54),20210818_fantasy_new(2.54),20210818_ff14(2.54),20210818_mabi_heroes2(2.54)]"
유물,"[20210818_lostark(374.77),20210818_boardgame(9.67),20210818_fantasy_new(7.25),20210818_typemoon(4.84),20210818_stream(4.84),20210818_maplestory(2.42),20210818_idolmaster(2.42),20210818_tr(2.42)]"
철구,"[20210818_ib_new2(1753.83),20210818_stream(6.65),20210818_leagueoflegends4(4.43),20210818_comic_new2(4.43),20210818_grsgills(2.22),20210818_extra(2.22),20210818_government(2.22),20210818_immovables(2.22),20210818_hanwhaeagles_new(2.22),20210818_bitcoins(2.22)]"
환류,[20210818_lostark(325.52)]
창수,"[20210818_lostark(333.16),20210818_stream(5.65),20210818_tr(5.65),20210818_monsterhunter(2.82),20210818_lgtwins_new(2.82)]"
소서,"[20210818_lostark(319.04),20210818_stream(2.82),20210818_idolmaster(2.82),20210818_ff14(2.82),20210818_lgbt(2.82)]"
데자뷰,"[20210818_lostark(305.25),20210818_hiphop(4.63),20210818_stream(2.31),20210818_maplestory(2.31),20210818_samsunglions_new(2.31),20210818_fantasy_new(2.31),20210818_pridepc_new4(2.31),20210818_doosanbears_new1(2.31),20210818_ib_new2(2.31)]"
이브,"[20210818_top12(690.77),20210818_grsgills(534.72),20210818_akb48(185.89),20210818_w_entertainer(87.21),20210818_etc_program2(61.96),20210818_baseball_new10(61.20),20210818_bts(22.18),20210818_elsword(16.83),20210818_idolmaster(9.94),20210818_redvelvet(7.65)]"
사쿠라,"[20210818_top12(513.59),20210818_grsgills(455.47),20210818_akb48(307.84),20210818_etc_program2(29.84),20210818_baseball_new10(25.13),20210818_typemoon(20.42),20210818_japan_entertainment(9.42),20210818_comic_new2(9.42),20210818_fantasy_new(6.28),20210818_producex(6.28)]"
김채원,"[20210818_grsgills(504.55),20210818_top12(414.33),20210818_akb48(111.94),20210818_baseball_new10(93.56),20210818_etc_program2(50.12),20210818_w_entertainer(23.39),20210818_producex(6.68),20210818_redvelvet(5.01),20210818_drama_new3(3.34),20210818_m_entertainer1(3.34)]"
민주,"[20210818_top12(724.11),20210818_grsgills(156.62),20210818_baseball_new10(46.06),20210818_akb48(42.38),20210818_etc_program2(20.27),20210818_producex(3.69),20210818_drama_new3(3.69),20210818_leagueoflegends4(3.69),20210818_stream(1.84),20210818_comic_new2(1.84)]"
