rank, score, word, galls
1,2365.0,엑시,"[20210818_bitcoins(2323.0),20210818_boardgame(8.0),20210818_iu_new(4.0),20210818_smartphone(4.0),20210818_fantasy_new(4.0),20210818_neostock(4.0),20210818_comic_new2(4.0),20210818_baseball_new10(4.0),20210818_lgtwins_new(2.0),20210818_bts(2.0),20210818_pumpitup(2.0),20210818_game_mabinogi1(2.0),20210818_producex(2.0),20210818_bike(2.0)]"
2,1838.0,퍼스트,"[20210818_leagueoflegends4(1774.0),20210818_fantasy_new(28.0),20210818_nba(12.0),20210818_gf(7.0),20210818_d_fighter_new2(7.0),20210818_comic_new2(5.0),20210818_football_new7(2.0),20210818_tigers_new(2.0),20210818_idolmaster(2.0)]"
3,1806.0,댑,"[20210818_bitcoins(1791.0),20210818_lostark(9.0),20210818_earphone(3.0),20210818_d_fighter_new2(3.0)]"
4,1783.0,철구,"[20210818_ib_new2(1754.0),20210818_stream(7.0),20210818_leagueoflegends4(4.0),20210818_comic_new2(4.0),20210818_government(2.0),20210818_immovables(2.0),20210818_extra(2.0),20210818_grsgills(2.0),20210818_hanwhaeagles_new(2.0),20210818_bitcoins(2.0)]"
5,1743.0,이브,"[20210818_akb48(186.0),20210818_top12(691.0),20210818_grsgills(535.0),20210818_etc_program2(62.0),20210818_baseball_new10(61.0),20210818_w_entertainer(87.0),20210818_bts(22.0),20210818_elsword(17.0),20210818_idolmaster(10.0),20210818_redvelvet(8.0),20210818_comic_new2(7.0),20210818_producex(5.0),20210818_bitcoins(5.0),20210818_drama_new3(5.0),20210818_fantasy_new(5.0),20210818_leagueoflegends4(3.0),20210818_neostock(3.0),20210818_samsunglions_new(2.0),20210818_ib_new2(2.0),20210818_d_fighter_new2(2.0),20210818_twice_new(2.0),20210818_monsterhunter(2.0),20210818_pokemon(2.0),20210818_earphone(2.0),20210818_m_entertainer1(2.0),20210818_stream(2.0),20210818_blackpink(2.0),20210818_nba(1.0),20210818_cs_new1(1.0),20210818_touhou(1.0),20210818_lgtwins_new(1.0),20210818_giants_new2(1.0),20210818_mabi_heroes2(1.0),20210818_granblue(1.0),20210818_football_new7(1.0),20210818_lostark(1.0),20210818_maplestory(1.0),20210818_closers(1.0),20210818_iu_new(1.0),20210818_boardgame(1.0),20210818_lotto_new2(1.0),20210818_ani1_new1(1.0),20210818_jumper(1.0),20210818_car_new1(1.0),20210818_baseball_ab2(1.0),20210818_lgbt(1.0)]"
6,1407.0,사쿠라,"[20210818_top12(514.0),20210818_grsgills(455.0),20210818_akb48(308.0),20210818_etc_program2(30.0),20210818_baseball_new10(25.0),20210818_typemoon(20.0),20210818_japan_entertainment(9.0),20210818_comic_new2(9.0),20210818_producex(6.0),20210818_fantasy_new(6.0),20210818_w_entertainer(6.0),20210818_leagueoflegends4(3.0),20210818_redvelvet(3.0),20210818_cs_new1(2.0),20210818_giants_new2(2.0),20210818_bts(2.0),20210818_drama_new3(2.0),20210818_sdvx(2.0),20210818_lgbt(2.0),20210818_idolmaster(2.0)]"
7,1326.0,발탄,"[20210818_lostark(923.0),20210818_stream(388.0),20210818_fantasy_new(9.0),20210818_maplestory(6.0)]"
8,1247.0,파카,"[20210818_lostark(101.0),20210818_stream(1097.0),20210818_leagueoflegends4(27.0),20210818_fantasy_new(16.0),20210818_maplestory(3.0),20210818_d_fighter_new2(3.0)]"
9,1230.0,김채원,"[20210818_akb48(112.0),20210818_baseball_new10(94.0),20210818_grsgills(505.0),20210818_top12(414.0),20210818_etc_program2(50.0),20210818_w_entertainer(23.0),20210818_producex(7.0),20210818_redvelvet(5.0),20210818_drama_new3(3.0),20210818_m_entertainer1(3.0),20210818_giants_new2(2.0),20210818_football_new7(2.0),20210818_bts(2.0),20210818_ib_new2(2.0),20210818_baseball_ab2(2.0),20210818_tr(2.0),20210818_lgbt(2.0),20210818_comic_new2(2.0)]"
10,1204.0,시조새,[20210818_ib_new2(1204.0)]
11,1160.0,쇼메,"[20210818_leagueoflegends4(1146.0),20210818_fantasy_new(14.0)]"
12,1062.0,창기,"[20210818_lgtwins_new(935.0),20210818_ktwiz(45.0),20210818_tigers_new(21.0),20210818_giants_new2(14.0),20210818_doosanbears_new1(14.0),20210818_skwyverns(10.0),20210818_baseball_ab2(8.0),20210818_hanwhaeagles_new(6.0),20210818_samsunglions_new(2.0),20210818_lotto_new2(2.0),20210818_sh_new(2.0),20210818_ncdinos(2.0)]"
13,1062.0,그룹,"[20210818_top12(234.0),20210818_w_entertainer(108.0),20210818_grsgills(366.0),20210818_baseball_new10(81.0),20210818_etc_program2(72.0),20210818_akb48(62.0),20210818_redvelvet(20.0),20210818_twice_new(15.0),20210818_producex(12.0),20210818_ib_new2(11.0),20210818_bts(9.0),20210818_baseball_ab2(8.0),20210818_leagueoflegends4(6.0),20210818_blackpink(6.0),20210818_neostock(5.0),20210818_football_new7(4.0),20210818_drama_new3(4.0),20210818_giants_new2(3.0),20210818_m_entertainer1(3.0),20210818_lgbt(3.0),20210818_idolmaster(3.0),20210818_hiphop(3.0),20210818_immovables(2.0),20210818_japan_entertainment(2.0),20210818_extra(2.0),20210818_gf(2.0),20210818_fantasy_new(2.0),20210818_comic_new2(2.0),20210818_doosanbears_new1(1.0),20210818_mabi_heroes2(1.0),20210818_diet(1.0),20210818_pridepc_new4(1.0),20210818_mystery(1.0),20210818_sdvx(1.0),20210818_stream(1.0)]"
14,1058.0,도현,"[20210818_stream(1043.0),20210818_ib_new2(6.0),20210818_kart(6.0),20210818_drama_new3(3.0)]"
15,1037.0,안붕,"[20210818_comic_new2(1013.0),20210818_typemoon(25.0)]"
16,1014.0,바프,"[20210818_bitcoins(1007.0),20210818_japan_entertainment(3.0),20210818_extra(3.0)]"
17,1013.0,민주,"[20210818_grsgills(157.0),20210818_top12(724.0),20210818_baseball_new10(46.0),20210818_akb48(42.0),20210818_etc_program2(20.0),20210818_producex(4.0),20210818_drama_new3(4.0),20210818_leagueoflegends4(4.0),20210818_mabi_heroes2(2.0),20210818_mistertrot(2.0),20210818_stock_new2(2.0),20210818_gongik_new(2.0),20210818_stream(2.0),20210818_lgbt(2.0),20210818_comic_new2(2.0)]"
