BEST_WORDS,GALL_ID
"(베이직,0.5344197888492866),(아이오,0.38902000872428877),(아이오텍스,0.34362073150474465),(바프,0.287294369261014),(상장가,0.10156476873522359),(파리,0.09251936725883662),(아이오텍,0.06276367901786127),(바이프로스트,0.058321729869854504),(도지사라했던,0.045883597777212855),(아오텍,0.04577104720660045),(소다,0.04402890227717761),(온버프,0.04356779162812016),(아이오타,0.04105277015316),(폴리,0.03533210225681359),(카르테시,0.03501217952107396)","(bitcoins 2021-08-12,0.8057433071549174),(bitcoins 2021-08-13,0.3871176091576084),(bitcoins 2021-08-11,0.32190048930779586),(bitcoins 2021-08-14,0.2834239675296434),(bitcoins 2021-08-10,0.08349209953214358)"
"(바프,0.8230216053313011),(소다,0.1494655885917818),(소다코인,0.08553945901589989),(바프가,0.07173083610301968),(바이프로스트,0.07126151221881798),(중계),0.06276602091739245),(바프는,0.06187295245322226),(퀀텀,0.043254561441397575),(바프로,0.03363438860337043),(사망,0.032327099024676294),(쯤에서,0.027896009296618795),(410~430,0.027896009296618764),(솔브케어,0.027896009296618753),(2시전에,0.022842739096332623),(10달러,0.02092200697246409)","(bitcoins 2021-08-14,0.8964094632427062),(bitcoins 2021-08-13,0.2092310369023491),(bitcoins 2021-08-10,0.03345207648578931),(bitcoins 2021-08-07,0.00641124102760395),(bitcoins 2021-08-04,-9.050027012194483E-4)"
"(베이직,0.2363792073843749),(상장가,0.04270319479399702),(아이오,0.03698909638477367),(바프,0.017199524905539647),(도지사라했던,0.016739100874702702),(해제,0.014080409161005593),(하이브달러,0.011733674300838014),(베이직은,0.011630130021868747),(17년부터코인했던형이다..,0.010947464629092742),(베이직으로,0.01093183162977137),(풀매수간다잇■■■■■,0.009386939440670476),(리또속,0.00938693944067042),(프메,0.009102105478014343),(불장을,0.008455014649374603),(9만,0.008318068003181626)","(bitcoins 2021-08-12,0.2396504425950595),(bitcoins 2021-08-13,0.12334755209173841),(bitcoins 2021-08-14,0.012771492641445538),(bitcoins 2021-08-04,-0.04423644680636889),(bitcoins 2021-08-06,-0.10035690549001994)"
"(아이오텍스,0.3618875158278677),(폴리,0.15315942007264363),(아이오타,0.10944255959789932),(아이오,0.09691864722727307),(바프,0.09166637574317302),(아이티오엑스,0.06306564355932377),(아이오택스,0.05332313953502908),(세력입니다,0.04851977356540527),(현금화완료,0.045046888256659944),(온버프에,0.04504688825665991),(꺼억■■■,0.045046888256659756),(메탈,0.036652085402568015),(비트렉스,0.03330758802275944),(온버프,0.030858450431447193),(후오비,0.029520305349023897)","(bitcoins 2021-08-11,0.8053153337003695),(bitcoins 2021-08-14,0.14194422769746246),(bitcoins 2021-08-04,-0.031709444050331666),(bitcoins 2021-08-06,-0.08562367517342115),(bitcoins 2021-08-08,-0.11525623504811053)"
"(캐리,0.12252347674342279),(퀀텀,0.08753295680665829),(퀸텀,0.07098399959139717),(밸런서,0.07079685909754954),(플댑으로,0.058538420876187984),(이캐시,0.058381176596899995),(ㅅ,0.05656615294726348),(파생,0.05280725602846315),(답안지,0.04864652194147137),(샤오미,0.04423412016379778),(4년차다.,0.043837547234511574),(코베가,0.043591953479956494),(유의종목,0.04331767193564452),(코베,0.0413700601245634),(리스크,0.040931707699125214)","(bitcoins 2021-08-05,0.6717951984128099),(bitcoins 2021-08-07,0.4899700051324157),(bitcoins 2021-08-06,0.3405609627889597),(bitcoins 2021-08-08,0.11780323342641878),(bitcoins 2021-08-04,0.09223438418738575)"
"(퀀텀,0.1444061340325305),(파생,0.12344195054400149),(퀸텀,0.11575683421618524),(엘프,0.056078951191775),(천억,0.05486822652492788),(디카,0.053599652467695595),(보지,0.051921436828828126),(온톨로지가스,0.04607713719710189),(메인프레임,0.03875997457173501),(6천원본다■■■■,0.037385967461183466),(대-운-지,0.037385967461183355),(보라(카카오게임),0.03738596746118332),(챠트,0.036211068666726146),(디카르고,0.03365600422484159),(워뇨띠가,0.03178861948570534)","(bitcoins 2021-08-07,0.7556019112076949),(bitcoins 2021-08-08,0.13598182740919),(bitcoins 2021-08-09,0.04977982665370112),(bitcoins 2021-08-12,0.008545853473029026),(bitcoins 2021-08-14,0.005632194430690268)"
"(카르테시,0.10360874422533208),(퀸텀,0.04343039508505467),(퀀텀,0.03629853104483492),(ㅅ,0.035140595756868315),(파생,0.030871307818333714),(답안지,0.028771831823295856),(여고생,0.027303349626433812),(코베가,0.026903467435323927),(전액현금화완료■■■■■,0.02616985949461445),(아이오,0.024543037773540166),(천억,0.02426627136555192),(피르마,0.023955502158793086),(1070에,0.02395550215879301),(본진상장,0.023955502158792885),(잘한거냐?,0.02395550215879279)","(bitcoins 2021-08-05,0.360556517812985),(bitcoins 2021-08-07,0.26236603974057465),(bitcoins 2021-08-10,0.1641187577090512),(bitcoins 2021-08-12,0.04209718153893455),(bitcoins 2021-08-14,0.026456540271766464)"
"(파리,0.16460686245829834),(염따,0.08095409299445148),(27k확정이야■■■■,0.0539693953296344),(세금,0.04299351018589621),(도지야,0.03913744780117998),(유벤투스,0.03734239761070281),(도지로,0.037101069949302304),(프랑스,0.03365952817177485),(픽준거,0.03217804377184022),(크래프톤,0.03217804377184015),(백신,0.03199275382765226),(인프라법,0.030602693535730682),(박는거,0.029577992405678412),(예상하냐?,0.028852159880549864),(13200층,0.028317091629278)","(bitcoins 2021-08-08,0.671880858529264),(bitcoins 2021-08-09,0.41903735529393016),(bitcoins 2021-08-05,0.09794696956147216),(bitcoins 2021-08-13,0.08401046338378453),(bitcoins 2021-08-04,0.016827406678106525)"
"(바이프로스트,0.1653949715145828),(베이직,0.15824067656188795),(상장가,0.1425878278565759),(불장을,0.08268648747365581),(선언한다■■■■,0.0708741321202764),(점검,0.05966554790962453),(포튜브,0.051514348138496965),(■■■,0.04724942141351772),(신세,0.047249421413517706),(■■학식이,0.047249421413517685),(빡대가리없제?■■■■,0.04724942141351762),(지금물리는,0.04724942141351757),(폴리,0.04484458316137145),(엑시에,0.037597422823165576),(비키니,0.03588994613005881)","(bitcoins 2021-08-13,0.8460813896224249),(bitcoins 2021-08-11,0.188945567900191),(bitcoins 2021-08-04,0.028488174841942115),(bitcoins 2021-08-07,0.024098096112990738),(bitcoins 2021-08-10,-0.01636516234764342)"
"(파리,0.165479389561304),(프랑스,0.06817219413485856),(파리행,0.06527694589833823),(유벤투스,0.05514607064086886),(공항,0.05176963636407965),(에펠탑,0.04813158664252098),(psg거래대금,0.045448129423239045),(신기록달성■■■■,0.04544812942323894),(도착,0.03703390706190368),(코빗,0.03540958607333294),(예약,0.03528796001764232),(개정안,0.03490752402379985),(민주당,0.03408609706742935),(리오넬,0.034086097067429336),(나한테만,0.0340860970674293)","(bitcoins 2021-08-09,0.7900814726785678),(bitcoins 2021-08-06,0.0221194826223896),(bitcoins 2021-08-07,0.02090256041778304),(bitcoins 2021-08-05,0.015315647043197633),(bitcoins 2021-08-14,0.012650616084790803)"
