BEST_WORDS,GALL_ID
"베이직, 아이오, 아이오텍스, 바프, 상장가, 파리, 아이오텍, 바이프로스트, 도지사라했던, 아오텍, 소다, 온버프, 아이오타, 폴리, 카르테시","(bitcoins 2021-08-12,0.8057433071549165), (bitcoins 2021-08-13,0.38711760915760807)"
"아이오, 아이오텍스, 베이직, 아이오텍, 도지사라했던, 아이오타, 파리, 폴리, 아오텍, 해제, 아이오는, 온톨로지, 하이브달러, 온톨, 아이오택","(bitcoins 2021-08-12,0.3552746255534098), (bitcoins 2021-08-11,0.15875067467628462)"
"파리, 카르테시, 메시, 아이오텍스, 파생, psg, 전액현금화완료■■■■■, 폴리, 메좆, 파리행, 오피셜, 카르, 톤, 아이오타, 한국어","(bitcoins 2021-08-10,0.6864396989181873), (bitcoins 2021-08-11,0.42677400091755013)"
"베이직, 카르테시, 메시, 파리, 상장가, psg, 바이프로스트, 전액현금화완료■■■■■, 파생, 카르, 메좆, 퀀텀, 파리행, 5시, 캐리","(bitcoins 2021-08-10,0.3933925931471884), (bitcoins 2021-08-13,0.24259301494493749)"
"캐리, 퀀텀, 퀸텀, 밸런서, 플댑으로, 이캐시, ㅅ, 파생, 답안지, 샤오미, 4년차다., 코베가, 유의종목, 코베, 리스크","(bitcoins 2021-08-05,0.6717951984128102), (bitcoins 2021-08-07,0.4899700051324159)"
"카르테시, 캐리, ㅅ, 플댑으로, 답안지, 밸런서, 코베가, 여고생, 본진상장, 1070에, 피르마, 잘한거냐?, 코베, 플댑이, 게이트","(bitcoins 2021-08-05,0.6052700376580311), (bitcoins 2021-08-10,0.16364167530330773)"
"카르테시, 퀸텀, 퀀텀, ㅅ, 파생, 답안지, 여고생, 코베가, 전액현금화완료■■■■■, 아이오, 천억, 본진상장, 피르마, 잘한거냐?, 1070에","(bitcoins 2021-08-05,0.36055651781298453), (bitcoins 2021-08-07,0.26236603974057443)"
"파리, 염따, 27k확정이야■■■■, 세금, 도지야, 유벤투스, 도지로, 프랑스, 크래프톤, 픽준거, 백신, 인프라법, 박는거, 예상하냐?, 13200층","(bitcoins 2021-08-08,0.6718808585292639), (bitcoins 2021-08-09,0.4190373552939301)"
"바프, 아이오, 소다, 도지사라했던, 중계), 아오텍, 해제, 아이오텍, 프메, 하이브달러, 바프가, 사망, 9만, 풀매수간다잇■■■■■, 리또속","(bitcoins 2021-08-12,0.3600508651424371), (bitcoins 2021-08-14,0.307479807503857)"
"카르테시, 염따, 27k확정이야■■■■, 세금, 전액현금화완료■■■■■, 도지로, 13200층, 45k, 박는거, 예상하냐?, 생각하냐?, 코인세금, 비혼에, 신인시절, 도지...","(bitcoins 2021-08-08,0.5743034660574146), (bitcoins 2021-08-10,0.2073252454616794)"
