BEST_WORDS,GALL_ID
"베이직, 아이오, 아이오텍스, 바프, 상장가, 파리, 아이오텍, 바이프로스트, 도지사라했던, 아오텍, 소다, 온버프, 아이오타, 폴리, 카르테시","(bitcoins 2021-08-12,0.8057433071549144), (bitcoins 2021-08-13,0.38711760915760474)"
"아이오, 아이오텍스, 베이직, 아이오텍, 도지사라했던, 아이오타, 파리, 폴리, 아오텍, 해제, 아이오는, 온톨로지, 하이브달러, 온톨, 아이오택","(bitcoins 2021-08-12,0.3552746255534019), (bitcoins 2021-08-11,0.1587506746762786)"
"베이직, 상장가, 아이오, 바프, 도지사라했던, 해제, 하이브달러, 베이직은, 17년부터코인했던형이다.., 베이직으로, 리또속, 풀매수간다잇■■■■■, 프메, 불장을, 9만","(bitcoins 2021-08-12,0.2396504425950547), (bitcoins 2021-08-13,0.1233475520917403)"
"아이오텍스, 폴리, 아이오타, 아이오, 바프, 아이티오엑스, 아이오택스, 세력입니다, 꺼억■■■, 온버프에, 현금화완료, 메탈, 비트렉스, 온버프, 후오비","(bitcoins 2021-08-11,0.8053153337003709), (bitcoins 2021-08-14,0.1419442276974536)"
"카르테시, 파리, 전액현금화완료■■■■■, 메시, 베이직, 카르, psg, 메좆, 한국어, 파리행, 바르샤, 잔류, 바이프로스트, 아이오, 5시","(bitcoins 2021-08-10,0.40334056557668735), (bitcoins 2021-08-12,0.05591141828049318)"
"퀀텀, 파생, 퀸텀, 엘프, 천억, 디카, 보지, 온톨로지가스, 메인프레임, 6천원본다■■■■, 보라(카카오게임), 대-운-지, 챠트, 디카르고, 워뇨띠가","(bitcoins 2021-08-07,0.7556019112076928), (bitcoins 2021-08-08,0.13598182740919254)"
"카르테시, 퀸텀, 퀀텀, ㅅ, 파생, 답안지, 여고생, 코베가, 전액현금화완료■■■■■, 아이오, 천억, 잘한거냐?, 피르마, 1070에, 본진상장","(bitcoins 2021-08-05,0.36055651781298337), (bitcoins 2021-08-07,0.26236603974057315)"
"카르테시, 이캐시, 4년차다., 밸런서, 샤오미, 전액현금화완료■■■■■, 비케똥, 유의종목, 이캐쉬, 5시, 5시30분, 캐리, 아이오텍스, 카르, 퀸텀","(bitcoins 2021-08-06,0.45157499744947593), (bitcoins 2021-08-10,0.32602942747152514)"
"바이프로스트, 베이직, 상장가, 불장을, 선언한다■■■■, 점검, 포튜브, 지금물리는, 빡대가리없제?■■■■, ■■■, ■■학식이, 신세, 폴리, 엑시에, 비키니","(bitcoins 2021-08-13,0.8460813896224262), (bitcoins 2021-08-11,0.18894556790019187)"
"파리, 프랑스, 파리행, 유벤투스, 공항, 에펠탑, 신기록달성■■■■, psg거래대금, 도착, 코빗, 예약, 개정안, 리오넬, 나한테만, 민주당","(bitcoins 2021-08-09,0.7900814726785678), (bitcoins 2021-08-06,0.022119482622391846)"
