BEST_WORDS,GALL_ID
"베이직, 아이오, 아이오텍스, 바프, 상장가, 파리, 아이오텍, 바이프로스트, 도지사라했던, 아오텍, 소다, 온버프, 아이오타, 폴리, 카르테시","(bitcoins 2021-08-12,0.8057433071549174), (bitcoins 2021-08-13,0.3871176091576084)"
"바프, 소다, 소다코인, 바프가, 바이프로스트, 중계), 바프는, 퀀텀, 바프로, 사망, 쯤에서, 410~430, 솔브케어, 2시전에, 10달러","(bitcoins 2021-08-14,0.8964094632427062), (bitcoins 2021-08-13,0.2092310369023491)"
"베이직, 상장가, 아이오, 바프, 도지사라했던, 해제, 하이브달러, 베이직은, 17년부터코인했던형이다.., 베이직으로, 풀매수간다잇■■■■■, 리또속, 프메, 불장을, 9만","(bitcoins 2021-08-12,0.2396504425950595), (bitcoins 2021-08-13,0.12334755209173841)"
"아이오텍스, 폴리, 아이오타, 아이오, 바프, 아이티오엑스, 아이오택스, 세력입니다, 현금화완료, 온버프에, 꺼억■■■, 메탈, 비트렉스, 온버프, 후오비","(bitcoins 2021-08-11,0.8053153337003695), (bitcoins 2021-08-14,0.14194422769746246)"
"캐리, 퀀텀, 퀸텀, 밸런서, 플댑으로, 이캐시, ㅅ, 파생, 답안지, 샤오미, 4년차다., 코베가, 유의종목, 코베, 리스크","(bitcoins 2021-08-05,0.6717951984128099), (bitcoins 2021-08-07,0.4899700051324157)"
"퀀텀, 파생, 퀸텀, 엘프, 천억, 디카, 보지, 온톨로지가스, 메인프레임, 6천원본다■■■■, 대-운-지, 보라(카카오게임), 챠트, 디카르고, 워뇨띠가","(bitcoins 2021-08-07,0.7556019112076949), (bitcoins 2021-08-08,0.13598182740919)"
"카르테시, 퀸텀, 퀀텀, ㅅ, 파생, 답안지, 여고생, 코베가, 전액현금화완료■■■■■, 아이오, 천억, 피르마, 1070에, 본진상장, 잘한거냐?","(bitcoins 2021-08-05,0.360556517812985), (bitcoins 2021-08-07,0.26236603974057465)"
"파리, 염따, 27k확정이야■■■■, 세금, 도지야, 유벤투스, 도지로, 프랑스, 픽준거, 크래프톤, 백신, 인프라법, 박는거, 예상하냐?, 13200층","(bitcoins 2021-08-08,0.671880858529264), (bitcoins 2021-08-09,0.41903735529393016)"
"바이프로스트, 베이직, 상장가, 불장을, 선언한다■■■■, 점검, 포튜브, ■■■, 신세, ■■학식이, 빡대가리없제?■■■■, 지금물리는, 폴리, 엑시에, 비키니","(bitcoins 2021-08-13,0.8460813896224249), (bitcoins 2021-08-11,0.188945567900191)"
"파리, 프랑스, 파리행, 유벤투스, 공항, 에펠탑, psg거래대금, 신기록달성■■■■, 도착, 코빗, 예약, 개정안, 민주당, 리오넬, 나한테만","(bitcoins 2021-08-09,0.7900814726785678), (bitcoins 2021-08-06,0.0221194826223896)"
