rank,freq,term,top_galls
1,1837.0,도지,"bitcoins(1815.0),baseball_new10(20.0),comic_new2(2.0)"
2,1620.0,엑시,"bitcoins(1614.0),baseball_new10(4.0),comic_new2(2.0)"
3,1459.0,시조새,ib_new2(1459.0)
4,1371.0,안붕,comic_new2(1371.0)
5,1315.0,발탄,"lostark(922.0),stream(393.0),leagueoflegends4(1.0)"
6,1267.0,바프,bitcoins(1267.0)
7,1191.0,퍼스트,"leagueoflegends4(1187.0),comic_new2(3.0),stream(1.0)"
8,1147.0,감바스,"ib_new2(1146.0),baseball_new10(1.0)"
9,1035.0,쿠크,"lostark(793.0),stream(241.0),comic_new2(1.0)"
10,1017.0,댑,"bitcoins(1013.0),lostark(4.0)"
11,929.0,바스,ib_new2(929.0)
12,890.0,쇼메,leagueoflegends4(890.0)
13,788.0,리플,"bitcoins(772.0),comic_new2(11.0),baseball_new10(3.0),leagueoflegends4(2.0)"
14,769.0,동희,giants_new2(769.0)
15,751.0,항미,"grsgills(748.0),baseball_new10(3.0)"
16,675.0,뿡2,w_entertainer(675.0)
17,665.0,아르고스,"lostark(630.0),stream(35.0)"
18,664.0,도현,"stream(661.0),ib_new2(3.0)"
19,650.0,감스트,ib_new2(650.0)
20,641.0,철구,"ib_new2(625.0),stream(9.0),comic_new2(4.0),leagueoflegends4(2.0),baseball_new10(1.0),bitcoins(0.0),grsgills(0.0)"
21,620.0,점핑,"lostark(608.0),stream(12.0)"
22,594.0,담원,"leagueoflegends4(589.0),stream(5.0)"
23,589.0,각인,"lostark(582.0),stream(5.0),grsgills(1.0),giants_new2(1.0),w_entertainer(1.0)"
24,589.0,디디,"leagueoflegends4(578.0),baseball_new10(10.0)"
25,560.0,파카,"stream(498.0),lostark(44.0),leagueoflegends4(15.0),baseball_new10(2.0),bitcoins(1.0)"
26,557.0,케리,leagueoflegends4(557.0)
27,548.0,산악회,"stream(530.0),lostark(17.0),baseball_new10(1.0)"
28,544.0,김봉준,"ib_new2(542.0),stream(1.0),baseball_new10(1.0)"
29,544.0,레이드,"stream(312.0),lostark(229.0),comic_new2(2.0),ib_new2(2.0)"
30,526.0,유물,"lostark(514.0),stream(11.0),baseball_new10(1.0)"
31,516.0,관문,"lostark(509.0),stream(5.0),leagueoflegends4(2.0)"
32,508.0,다과회,"stream(504.0),lostark(4.0)"
33,506.0,강현,stream(506.0)
34,502.0,소서,"lostark(486.0),stream(16.0)"
35,502.0,전각,"lostark(500.0),stream(1.0),leagueoflegends4(1.0)"
36,459.0,세럼,"bitcoins(457.0),baseball_new10(1.0)"
37,454.0,풍월,"stream(412.0),lostark(35.0),ib_new2(7.0)"
38,452.0,성태,"ib_new2(382.0),stream(70.0)"
39,440.0,요호,"lostark(438.0),stream(3.0)"
40,440.0,랜딩,bitcoins(440.0)
41,438.0,폿,"lostark(276.0),leagueoflegends4(111.0),stream(27.0),grsgills(23.0),comic_new2(2.0)"
42,437.0,걸프,"grsgills(424.0),baseball_new10(13.0)"
43,422.0,남수,"ib_new2(417.0),stream(5.0)"
44,411.0,농심,"leagueoflegends4(409.0),comic_new2(1.0),stream(1.0)"
45,400.0,군단장,"lostark(327.0),stream(72.0),baseball_new10(1.0)"
46,390.0,골드,"lostark(351.0),leagueoflegends4(22.0),stream(9.0),ib_new2(5.0),comic_new2(2.0),bitcoins(1.0),baseball_new10(1.0),grsgills(0.0)"
47,390.0,경민,"ib_new2(388.0),stream(1.0)"
48,387.0,품질,"lostark(385.0),comic_new2(3.0)"
49,384.0,성냥,bitcoins(384.0)
